epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4535,1.05152,1.82728,1.09166,0.8383,0.7835,0.85225,0.60916,0.98105,1.11369,1.08346,0.00332877,0.00332877,0.00332877
2,123.346,1.01369,1.15296,1.05617,0.80818,0.76343,0.80466,0.58813,0.94456,0.97166,1.07978,0.00659615,0.00659615,0.00659615
3,179.575,1.04712,1.0407,1.07233,0.82678,0.77157,0.83698,0.61589,0.9937,0.95273,1.10998,0.00979753,0.00979753,0.00979753
4,235.212,1.04575,0.96056,1.07606,0.85058,0.76246,0.85114,0.64238,0.95179,0.88026,1.09837,0.009703,0.009703,0.009703
5,290.275,0.98864,0.85828,1.05288,0.86813,0.80256,0.87702,0.67901,0.89525,0.78877,1.05445,0.009604,0.009604,0.009604
6,345.498,0.94081,0.79378,1.0327,0.8846,0.82322,0.89461,0.69978,0.8667,0.73162,1.05447,0.009505,0.009505,0.009505
7,400.341,0.90782,0.75429,1.0207,0.88468,0.84027,0.90542,0.71574,0.84487,0.67455,1.03833,0.009406,0.009406,0.009406
8,455.111,0.88232,0.72587,1.013,0.88154,0.82979,0.90023,0.71675,0.84268,0.68637,1.042,0.009307,0.009307,0.009307
9,509.989,0.85973,0.70232,1.00487,0.86552,0.85079,0.90346,0.73851,0.78055,0.65052,1.02419,0.009208,0.009208,0.009208
10,565.03,0.83744,0.67646,0.99558,0.88628,0.85175,0.91849,0.74394,0.79081,0.62714,1.022,0.009109,0.009109,0.009109
11,620.29,0.8207,0.65988,0.9919,0.88556,0.85552,0.91501,0.7556,0.75943,0.60644,1.01383,0.00901,0.00901,0.00901
12,675.384,0.81051,0.65181,0.98859,0.90136,0.82851,0.9188,0.75342,0.77105,0.60499,1.02562,0.008911,0.008911,0.008911
13,730.8,0.7987,0.63479,0.98356,0.89487,0.85958,0.92569,0.76582,0.75325,0.58389,1.01218,0.008812,0.008812,0.008812
14,786.234,0.78799,0.62688,0.98005,0.88726,0.86145,0.92393,0.77259,0.72877,0.57789,1.0089,0.008713,0.008713,0.008713
15,841.554,0.77512,0.61178,0.97672,0.89786,0.85374,0.92208,0.77257,0.72838,0.57599,1.00288,0.008614,0.008614,0.008614
16,897.292,0.77145,0.61135,0.97703,0.90051,0.8655,0.92653,0.77983,0.71438,0.56336,1.0039,0.008515,0.008515,0.008515
