epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7711,0.89908,1.04273,1.01142,0.88069,0.85178,0.90053,0.69633,0.8479,0.66005,1.00757,0.00332877,0.00332877,0.00332877
2,132.523,0.86804,0.70748,0.98751,0.87923,0.82557,0.9021,0.71281,0.84711,0.69969,1.01739,0.00659615,0.00659615,0.00659615
3,194.125,0.92205,0.75142,1.00773,0.84195,0.80114,0.85908,0.66897,0.87898,0.79889,1.07068,0.00979753,0.00979753,0.00979753
4,254.419,0.93651,0.77367,1.01801,0.86503,0.78421,0.87326,0.67087,0.92021,0.78986,1.0795,0.009703,0.009703,0.009703
5,314.735,0.88332,0.71171,1.00357,0.89608,0.83013,0.91004,0.73501,0.80966,0.65659,1.03031,0.009604,0.009604,0.009604
6,375.182,0.83965,0.6723,0.98998,0.87971,0.84628,0.9098,0.73843,0.78265,0.6406,1.02259,0.009505,0.009505,0.009505
7,435.963,0.79854,0.64242,0.97544,0.86643,0.86489,0.91596,0.75683,0.75739,0.60644,1.016,0.009406,0.009406,0.009406
8,576.736,0.77574,0.61961,0.96938,0.89532,0.84435,0.91644,0.76301,0.74886,0.60528,1.02084,0.009307,0.009307,0.009307
9,702.372,0.7488,0.60031,0.96143,0.89109,0.84834,0.91922,0.77723,0.69884,0.5742,1.0073,0.009208,0.009208,0.009208
10,805.694,0.72476,0.57847,0.95393,0.90324,0.86932,0.93429,0.79047,0.69481,0.5474,0.99077,0.009109,0.009109,0.009109
11,908.882,0.7094,0.56691,0.95284,0.89488,0.86771,0.9317,0.79745,0.67641,0.54004,0.98618,0.00901,0.00901,0.00901
12,1012.12,0.69879,0.55818,0.94716,0.88592,0.86157,0.92854,0.79978,0.66404,0.53753,0.98715,0.008911,0.008911,0.008911
13,1115.21,0.68982,0.54584,0.94506,0.9036,0.87449,0.93316,0.80154,0.66386,0.53095,0.98299,0.008812,0.008812,0.008812
14,1218,0.67767,0.53727,0.94336,0.90065,0.87241,0.93635,0.81019,0.6504,0.51503,0.97898,0.008713,0.008713,0.008713
